,Date,Team,Acquired,Relinquished,Notes,PLAYER_ID,TEAM_ID,NICKNAME,inj_MIN,inj_FGA,inj_FG_PCT,inj_FG3A,inj_FG3_PCT,inj_FTA,inj_FT_PCT,inj_REB,inj_AST,inj_STL,inj_BLK,inj_TO,inj_PF,inj_PTS,inj_PLUS_MINUS,p5_MIN,p5_FGA,p5_FG_PCT,p5_FG3A,p5_FG3_PCT,p5_FTA,p5_FT_PCT,p5_REB,p5_AST,p5_STL,p5_BLK,p5_TO,p5_PF,p5_PTS,p5_PLUS_MINUS
0,2010-10-03,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),2430,1610612741,Bulls,36.766666666666666,11.0,0.364,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,4.0,6.0,10.0,-14.0,40.93666666666667,17.6,0.542,0.0,0.0,2.0,0.43339999999999995,14.8,3.4,0.4,0.4,2.6,3.6,19.8,-5.0
1,2010-10-27,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger,2430,1610612741,Bulls,36.766666666666666,11.0,0.364,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,4.0,6.0,10.0,-14.0,40.93666666666667,17.6,0.542,0.0,0.0,2.0,0.43339999999999995,14.8,3.4,0.4,0.4,2.6,3.6,19.8,-5.0
2,2010-11-24,Bulls,,Taj Gibson,right ankle/foot injury (DNP),201959,1610612741,Bulls,,,,,,,,,,,,,,,,27.876666666666665,9.6,0.3554,0.4,0.2,1.6,0.4,9.6,1.4,1.0,2.0,1.4,3.0,8.8,-4.0
3,2010-11-26,Bulls,,Derrick Rose,placed on IL with sore neck,201565,1610612741,Bulls,50.31666666666667,33.0,0.424,5.0,0.2,6.0,1.0,12.0,7.0,0.0,1.0,4.0,6.0,35.0,7.0,38.5,21.8,0.5034,4.2,0.45660000000000006,6.4,0.7445999999999999,3.8,6.6,1.4,0.4,3.4,1.6,28.4,1.2
4,2010-11-27,Bulls,,John Lucas III,placed on IL,101249,1610612741,Bulls,4.416666666666667,2.0,0.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.4,3.2,0.2734,1.6,0.2,0.0,0.0,0.4,0.8,0.0,0.0,0.2,0.6,2.2,
5,2010-12-01,Bulls,,Brian Scalabrine,placed on IL,2243,1610612741,Bulls,,,,,,,,,,,,,,,,8.283333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0,0.0,8.0
6,2010-12-03,Bulls,,Kurt Thomas,placed on IL,703,1610612741,Bulls,1.8166666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,,,,,,,,,,,,,,,
7,2010-12-04,Bulls,,Brian Scalabrine,placed on IL,2243,1610612741,Bulls,1.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0
8,2010-12-06,Bulls,,Kurt Thomas,placed on IL,703,1610612741,Bulls,,,,,,,,,,,,,,,,1.8166666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
9,2010-12-08,Bulls,,Brian Scalabrine,placed on IL,2243,1610612741,Bulls,,,,,,,,,,,,,,,,4.308333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.5,0.0,6.5
10,2010-12-11,Bulls,,Kurt Thomas,placed on IL,703,1610612741,Bulls,3.333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.8166666666666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
11,2010-12-15,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely),201149,1610612741,Bulls,26.216666666666665,6.0,0.667,0.0,0.0,4.0,0.75,11.0,0.0,0.0,2.0,2.0,2.0,11.0,23.0,31.959999999999997,9.2,0.4298,0.0,0.0,3.2,0.62,10.0,2.8,1.0,1.8,2.0,3.6,9.8,9.8
12,2010-12-15,Bulls,,Kurt Thomas,placed on IL (P),703,1610612741,Bulls,,,,,,,,,,,,,,,,2.575,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,-1.0
13,2010-12-16,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely),201149,1610612741,Bulls,26.216666666666665,6.0,0.667,0.0,0.0,4.0,0.75,11.0,0.0,0.0,2.0,2.0,2.0,11.0,23.0,31.959999999999997,9.2,0.4298,0.0,0.0,3.2,0.62,10.0,2.8,1.0,1.8,2.0,3.6,9.8,9.8
14,2010-12-18,Bulls,,Joakim Noah,placed on IL recovering from surgery on right thumb to repair torn ligament,201149,1610612741,Bulls,26.216666666666665,6.0,0.667,0.0,0.0,4.0,0.75,11.0,0.0,0.0,2.0,2.0,2.0,11.0,23.0,31.959999999999997,9.2,0.4298,0.0,0.0,3.2,0.62,10.0,2.8,1.0,1.8,2.0,3.6,9.8,9.8
15,2010-12-21,Bulls,,Taj Gibson,placed on IL with concussion,201959,1610612741,Bulls,8.9,1.0,1.0,0.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,1.0,3.0,3.0,-8.0,22.189999999999998,8.0,0.3372,0.2,0.0,0.8,0.4,5.2,1.2,0.6,1.6,1.4,1.6,6.0,3.6
16,2010-12-22,Bulls,,John Lucas III,placed on IL,101249,1610612741,Bulls,5.683333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,7.283333333333334,3.6,0.3734,1.8,0.2,0.4,0.0,0.4,0.8,0.0,0.0,0.2,0.6,2.6,1.0
17,2011-01-17,Bulls,,Carlos Boozer,sprained left ankle (DNP),2430,1610612741,Bulls,,,,,,,,,,,,,,,,32.71666666666666,14.6,0.597,0.0,0.0,2.6,0.45999999999999996,10.2,1.6,0.2,0.2,2.8,3.6,19.6,2.4
