,TEAM_ID,Team,PLAYER_ID,Player,DateInjured,InjuryNotes,DateRecovered,RecoverNotes
0,1610612741,Bulls,2430,Carlos Boozer,2010-10-03,fractured bone in right pinky finger (out indefinitely),2010-12-01,activated from IL
1,1610612741,Bulls,2430,Carlos Boozer,2010-10-27,placed on IL with fractured bone in right pinky finger,2010-12-01,activated from IL
2,1610612741,Bulls,201959,Taj Gibson,2010-11-24,right ankle/foot injury (DNP),2010-12-22,activated from IL
3,1610612741,Bulls,201565,Derrick Rose,2010-11-26,placed on IL with sore neck,2010-11-27,activated from IL
4,1610612741,Bulls,101249,John Lucas III,2010-11-27,placed on IL,2010-12-21,activated from IL
5,1610612741,Bulls,2243,Brian Scalabrine,2010-12-01,placed on IL,2010-12-03,activated from IL
6,1610612741,Bulls,703,Kurt Thomas,2010-12-03,placed on IL,2010-12-04,activated from IL
7,1610612741,Bulls,2243,Brian Scalabrine,2010-12-04,placed on IL,2010-12-06,activated from IL
8,1610612741,Bulls,703,Kurt Thomas,2010-12-06,placed on IL,2010-12-08,activated from IL
9,1610612741,Bulls,2243,Brian Scalabrine,2010-12-08,placed on IL,2010-12-11,activated from IL
10,1610612741,Bulls,703,Kurt Thomas,2010-12-11,placed on IL,2010-12-18,activated from IL
11,1610612741,Bulls,201149,Joakim Noah,2010-12-15,torn ligament in right thumb (out indefinitely),2011-02-23,activated from IL
12,1610612741,Bulls,703,Kurt Thomas,2010-12-15,placed on IL (P),2010-12-18,activated from IL
13,1610612741,Bulls,201149,Joakim Noah,2010-12-16,surgery on right thumb to repair torn ligament (out indefinitely),2011-02-23,activated from IL
14,1610612741,Bulls,201149,Joakim Noah,2010-12-18,placed on IL recovering from surgery on right thumb to repair torn ligament,2011-02-23,activated from IL
15,1610612741,Bulls,201959,Taj Gibson,2010-12-21,placed on IL with concussion,2010-12-22,activated from IL
16,1610612741,Bulls,101249,John Lucas III,2010-12-22,placed on IL,2014-03-16,activated from IL
17,1610612741,Bulls,2430,Carlos Boozer,2011-01-17,sprained left ankle (DNP),2011-03-21,activated from IL
18,1610612741,Bulls,2430,Carlos Boozer,2011-01-18,sprained left ankle (DNP),2011-03-21,activated from IL
19,1610612741,Bulls,2430,Carlos Boozer,2011-01-20,sprained left ankle (DNP),2011-03-21,activated from IL
20,1610612741,Bulls,2446,Rasual Butler,2011-03-04,placed on IL,2015-12-21,activated from IL
21,1610612741,Bulls,2430,Carlos Boozer,2011-03-11,placed on IL with sprained left ankle,2011-03-21,activated from IL
22,1610612741,Bulls,201149,Joakim Noah,2011-03-15,flu (DNP),2011-04-05,activated from IL
23,1610612741,Bulls,2243,Brian Scalabrine,2011-03-21,placed on IL,2011-03-30,activated from IL
24,1610612741,Bulls,2457,Jannero Pargo,2011-03-21,placed on IL,2012-04-04,activated from IL
25,1610612741,Bulls,101249,John Lucas III,2011-03-21,placed on IL,2014-03-16,activated from IL
26,1610612741,Bulls,201149,Joakim Noah,2011-03-30,placed on IL with sprained right ankle,2011-04-05,activated from IL
27,1610612741,Bulls,2243,Brian Scalabrine,2011-04-05,placed on IL,2011-05-26,activated from IL
28,1610612741,Bulls,200758,Ronnie Brewer,2011-04-13,sprained left thumb (DNP),2013-02-27,activated from IL
29,1610612741,Bulls,2457,Jannero Pargo,2011-04-16,placed on IL,2012-04-04,activated from IL
30,1610612741,Bulls,101249,John Lucas III,2011-04-16,placed on IL,2014-03-16,activated from IL
31,1610612741,Bulls,201600,Omer Asik,2011-05-25,stress fracture in left fibula (out for season),2014-02-07,activated from IL
32,1610612741,Bulls,201600,Omer Asik,2011-05-26,placed on IL with stress fracture in left fibula (out for season),2014-02-07,activated from IL
33,1610612741,Bulls,1888,Richard Hamilton,2012-01-01,sore left groin (DNP),2012-01-17,activated from IL
34,1610612741,Bulls,201228,C.J. Watson,2012-01-03,sprained left elbow (DNP),2012-01-16,activated from IL
35,1610612741,Bulls,201228,C.J. Watson,2012-01-04,sprained left elbow (DNP),2012-01-16,activated from IL
36,1610612741,Bulls,201228,C.J. Watson,2012-01-07,sprained left elbow (DNP),2012-01-16,activated from IL
