,Unnamed: 0,PLAYER_ID,DateRecovered,DateInjured,TEAM_ID,Team,Player,InjuryNotes,RecoverNotes,NumberInjuries,InjuryLengthDays,SeasonInjured,SeasonRecovered
0,0,255,2011-01-14,2011-01-11,1610612756,Suns,Grant Hill,placed on IL with sore/sprained right knee,activated from IL,20.0,3,2010.0,2010.0
1,1,255,2013-01-12,2012-01-13,1610612756,Suns,Grant Hill,strained right quadriceps (DNP),activated from IL,20.0,365,2011.0,2012.0
2,2,255,2013-04-27,2013-04-25,1610612746,Clippers,Grant Hill,placed on IL,activated from IL,20.0,2,2012.0,2012.0
3,3,406,2010-11-11,2010-11-02,1610612738,Celtics,Shaquille O'Neal,placed on IL with bruised right knee,activated from IL,17.0,9,2010.0,2010.0
4,4,406,2011-04-03,2010-12-09,1610612738,Celtics,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),activated from IL,17.0,115,2010.0,2010.0
5,5,406,2011-05-07,2011-04-05,1610612738,Celtics,Shaquille O'Neal,placed on IL with strained right calf muscle,activated from IL,17.0,32,2010.0,2010.0
6,6,436,2010-11-02,2010-10-29,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,4,2010.0,2010.0
7,7,436,2010-11-13,2010-11-06,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,7,2010.0,2010.0
8,8,436,2013-03-24,2010-11-19,1610612748,Heat,Juwan Howard,broken nose (DNP),activated from IL,6.0,856,2010.0,2012.0
9,9,436,2013-03-29,2013-03-27,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,2,2012.0,2012.0
10,10,436,2013-06-01,2013-04-21,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,41,2012.0,2012.0
11,11,467,2011-04-10,2011-04-06,1610612742,Mavericks,Jason Kidd,rest (DNP),activated from IL,15.0,4,2010.0,2010.0
12,12,467,2012-01-14,2012-01-07,1610612742,Mavericks,Jason Kidd,strained lower back (DNP),activated from IL,15.0,7,2011.0,2011.0
