Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1003752002852139009,"Discrimination should have no place in our schools. Under Betsy DeVos, our government is losing sight of that basic truth in our public education system. https://t.co/VmId3wq3SE",Kamala Harris,KamalaHarris,Mon Jun 04 21:35:00 +0000 2018,2834,1098,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
1003775657153826819,This deserves far more attention from our government and media than it’s getting. Our government’s catastrophic failures in the aftermath of Hurricane Maria cost lives — and we’ve even failed to assess the damage. Finding out why should be a top priority. https://t.co/LOwfi5zJpW,Kamala Harris,KamalaHarris,Mon Jun 04 23:09:00 +0000 2018,6148,2491,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
1003781596694994944,"Every time we enter the voting booth, we’re voting for the kind of future we want for the next generation. Californians, be a role model for our kids and make a plan to vote in tomorrow’s primary. Find out where to vote here: https://t.co/r3Y6vNlbaC https://t.co/SgUSOBDdA5",Kamala Harris,KamalaHarris,Mon Jun 04 23:32:36 +0000 2018,1600,509,English,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,Video,1,0,0
1003785224319270912,"As San Francisco’s District Attorney and California’s Attorney General, I helped make CA the first state to outlaw “gay/trans panic” defense, which is used to justify horrible acts of violence against LGBTQ people. This #Pride Month, let’s commit to banning it nationwide. https://t.co/LFFdLE6zdZ",Kamala Harris,KamalaHarris,Mon Jun 04 23:47:01 +0000 2018,1592,481,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,Photo,0,1,0
1003799824783892480,This Administration's efforts to expand offshore drilling in our state pose a grave threat to the health and well-being of Californians. I'm grateful to see our state's leaders taking action to stand up for our natural resources and public health. https://t.co/PufsStDCSW,Kamala Harris,KamalaHarris,Tue Jun 05 00:45:02 +0000 2018,1009,372,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
1003837570793517058,"4/10 mothers are their family’s primary wage earner. Equal pay isn’t just about fairness in the workforce, it’s about justice for families.",Kamala Harris,KamalaHarris,Tue Jun 05 03:15:01 +0000 2018,4669,1171,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,0,0,0
1004010001910910976,California Democrats — it’s Election Day! The polls are now open until 8PM. It's critical you turn out and vote to make sure Democrats are on the ballot in November. Find out where you’re voting here: https://t.co/r3Y6vNCMzc https://t.co/qUhHaFUdMF,Kamala Harris,KamalaHarris,Tue Jun 05 14:40:12 +0000 2018,4655,2413,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,GIF,1,0,0
1004016258914930688,California Democrats — it’s Election Day! The polls are now open until 8PM. It's critical you turn out and vote to make sure Democrats are on the ballot in November. Find out where you’re voting here: https://t.co/r3Y6vNCMzc https://t.co/vnai1jDxUc,Kamala Harris,KamalaHarris,Tue Jun 05 15:05:04 +0000 2018,1191,554,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,Photo,1,0,0
1004024620289323012,The culture of fear and silence created by perpetrators of sexual harassment in American workplaces must end. The EMPOWER Act will strengthen our laws so this misconduct will no longer remain unpunished and in the shadows. https://t.co/wnsOhjM27u,Kamala Harris,KamalaHarris,Tue Jun 05 15:38:18 +0000 2018,1023,328,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
1004041920635658250,"These repeated attacks on Robert Mueller and the Russia investigation are beyond concerning — they’re dangerous. Congress must move forward on legislation that protects the special counsel before it’s too late.
https://t.co/F2xXDSTdZe",Kamala Harris,KamalaHarris,Tue Jun 05 16:47:02 +0000 2018,3236,1126,English,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,1,0,0
