State_name,Banni_male_total,Banni_female_total,Bhadawari_male_total,Bhadawari_female_total,Chilika_male_total,Chilika_female_total,Jaffarabadi_male_total,Jaffarabadi_female_total,Kalahandi_male_total,Kalahandi_female_total,Marathwadi_male_total,Marathwadi_female_total,Mehsana_male_total,Mehsana_female_total,Murrah_male_total,Murrah_female_total,Nagpuri_male_total,Nagpuri_female_total,Nili_Ravi_male_total,Nili_Ravi_female_total,Non_descript_male_total,Non_descript_female_total,Pandharpuri_male_total,Pandharpuri_female_total,Surti_male_total,Surti_female_total,Toda_male_total,Toda_female_total,total_male,total_female,total_buffalo,201314_in_milk,201415_in_milk,201516_in_milk,201617_in_milk,201718_in_milk,201819_in_milk,201314_yield_in_milk,201415_yield_in_milk,201516_yield_in_milk,201617_yield_in_milk,201718_yield_in_milk,201819_yield_in_milk,201314_milk_production,201415_milk_production,201516_milk_production,201617_milk_production,201718_milk_production,201819_milk_production
ANDAMAN & NICOBAR ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,0,0,0,0,4029,3793,0,0,0,0,0,0,4040,3823,7863,1.45,1.09,0.78,1.14,1.17,1.41,3.40,4.32,3.83,3.63,3.64,3.84,1.80,1.72,1.09,1.51,1.55,1.97
ANDHRA PRADESH,0,0,0,0,0,0,1748,13313,0,0,0,0,567,4652,633120,4594150,2474,11047,0,0,712624,4649095,0,0,0,0,0,0,1350533,9272257,10622790,5328.58,2968.52,3693.06,4026.65,3398.39,3617.61,4.73,6.07,5.52,5.65,7.34,7.52,9207.05,6573.96,7444.83,8308.18,9100.76,9932.01
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2597,3373,0,0,0,0,0,0,2597,3373,5970,,0.41,0.42,0.47,0.57,0.75,,0.67,2.61,2.55,2.54,2.55,,0.10,0.40,0.44,0.53,0.70
ASSAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,1054,0,0,0,0,170727,262791,0,0,0,0,0,0,171420,263845,435265,114.47,107.40,96.09,86.38,92.33,93.65,2.92,3.06,3.33,3.64,3.43,3.43,122.13,119.93,116.90,114.89,115.44,117.13
BIHAR,0,0,2969,24121,0,0,3382,24984,0,0,0,0,3166,23417,252368,2167584,270,1458,121,1370,701704,4265603,0,0,12355,82260,0,0,976436,6590797,7567233,2089.91,2100.28,2058.97,2138.47,2264.12,2400.98,3.95,4.24,4.27,4.30,4.38,4.39,3014.94,3248.01,3209.69,3358.03,3619.42,3850.61
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,7833,0,0,23,852,331,4283,0,0,0,0,0,0,1066,12968,14034,13.90,13.82,12.35,7.36,7.56,8.05,6.20,6.10,6.72,7.22,8.77,9.26,31.45,30.78,30.28,19.40,24.18,27.23
CHHATTISGARH,0,0,0,0,0,0,0,0,0,0,0,0,3998,646,99476,127795,7995,12402,1638,840,650369,446860,0,0,26614,11920,0,0,790090,600463,1390553,194.97,191.55,189.70,196.71,201.97,207.50,5.26,5.14,4.49,4.70,4.82,4.91,374.29,359.31,310.76,337.60,355.16,372.03
DADRA & NAGAR HAVELI,0,0,0,0,0,0,108,716,0,0,0,0,1568,1043,0,0,0,0,0,0,212,256,0,0,113,46,0,0,2001,2061,4062,0.95,0.00,0.00,,,,4.65,0.00,0.00,,,,1.62,1.22,,,,
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,8,195,0,0,0,0,0,0,58,157,0,0,0,12,0,0,66,364,430,0.28,0.00,0.26,0.04,0.17,0.11,2.64,0.45,2.63,5.21,4.69,6.82,0.27,0.25,0.25,0.07,0.30,0.26
GOA,0,0,0,0,0,0,0,58,0,0,0,0,0,0,257,1025,0,0,0,0,6424,23958,23,53,0,0,0,0,6704,25094,31798,16.40,14.64,12.58,11.35,10.61,10.47,4.13,3.98,4.23,4.14,4.39,4.38,24.72,21.26,19.43,17.14,16.99,16.73
