State_name,district_count,village_count,official_area_sqkm,proj_population_2020,agro_climatic_zone1,agro_climatic_zone2,agro_climatic_zone3,agro_climatic_zone4,agro_climatic_zone5,agro_climatic_zone6,agro_climatic_zone7,agro_climatic_zone8,agro_climatic_zone9,agro_climatic_zone10,agro_climatic_zone11,agro_climatic_zone12,agro_climatic_zone13,agro_climatic_zone14,agro_climatic_zone15
ANDAMAN & NICOBAR ISLANDS,3,552,8249,417036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANDHRA PRADESH,13,17973,162223,53903393,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
ARUNACHAL PRADESH,25,5577,87157,1570458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,33,28679,79255,35607039,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,38,45172,94945,124799926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,1,0,114,1158473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,28,20578,130603,29436231,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
DADRA & NAGAR HAVELI,3,70,602,615724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,3,31,602,615724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2,412,3702,1586250,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GUJARAT,33,19002,196979,63872399,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HARYANA,22,7652,44172,28204692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,12,20934,55639,7451955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,20,7251,109250,13606320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,24,32725,78135,38593948,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
KARNATAKA,30,33182,191333,67562686,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
KERALA,14,1665,38687,35699443,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LAKSHADWEEP,1,27,33,73183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MADHYA PRADESH,55,55256,307851,85358965,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
MAHARASHTRA,36,44146,307296,123144223,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
MANIPUR,16,3827,21489,3091545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,11,6799,22002,3366710,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,11,837,20804,1239244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,12,1614,17925,2249695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCT OF DELHI,11,222,1538,18710922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ODISHA,30,52141,155046,46356334,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
PUDUCHERRY,4,116,494,1413542,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PUNJAB,22,13087,50695,30141373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RAJASTHAN,33,45910,341876,81032689,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0
SIKKIM,4,453,7096,690251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,38,18463,129897,77841267,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
TELANGANA,33,11235,110358,39362732,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TRIPURA,8,898,10489,4169794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,75,108910,243783,237882725,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
UTTARAKHAND,13,17033,53755,11250858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,23,41002,88241,99609303,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
