"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","artist","num_positive","num_negative","num_neutral","positivity","negativity","neutrality","word_count","unique_word_count"
"0.872","0.391","0","-9.144","0","0.242","0.469","4.13e-06","0.297","0.437","134.021","audio_features","7m9OqQk4RVRkw9JJdeAw96","spotify:track:7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96","119133","4","Jocelyn Flores","XXXTENTACION","1","15","15","0.03225806451612903","0.4838709677419355","0.4838709677419355","135","95"
"0.773","0.75","8","-4.009","0","0.117","0.109","0","0.174","0.783","123.426","audio_features","0uxSUdBrJy9Un0EYoBowng","spotify:track:0uxSUdBrJy9Un0EYoBowng","https://api.spotify.com/v1/tracks/0uxSUdBrJy9Un0EYoBowng","https://api.spotify.com/v1/audio-analysis/0uxSUdBrJy9Un0EYoBowng","220587","4","20 Min","Lil Uzi Vert","4","7","72","0.04819277108433735","0.08433734939759036","0.8674698795180723","429","175"
"0.732","0.75","11","-6.366","0","0.231","0.00264","0","0.109","0.401","155.096","audio_features","7GX5flRQZVHRAGd6B4TmDO","spotify:track:7GX5flRQZVHRAGd6B4TmDO","https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO","https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO","182707","4","XO Tour Llif3","Lil Uzi Vert","1","17","52","0.014285714285714285","0.24285714285714285","0.7428571428571429","240","151"
"0.734","0.57","7","-7.066","0","0.133","0.847","2.14e-05","0.112","0.689","129.953","audio_features","3GVkPk8mqxz0itaAriG1L7","spotify:track:3GVkPk8mqxz0itaAriG1L7","https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7","https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7","95467","4","Everybody Dies In Their Nightmares","XXXTENTACION","0","25","18","0.0","0.5813953488372093","0.4186046511627907","213","66"
"0.776","0.503","0","-5.732","0","0.237","0.874","0","0.112","0.473","110.134","audio_features","6Nle9hKrkL1wQpwNfEkxjh","spotify:track:6Nle9hKrkL1wQpwNfEkxjh","https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh","https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh","210285","4","Chanel","Frank Ocean","5","10","49","0.078125","0.15625","0.765625","253","165"
"0.551","0.801","6","-5.069","1","0.0303","0.013","6.03e-06","0.265","0.625","128.027","audio_features","1mMLMZYXkMueg65jRRWG1l","spotify:track:1mMLMZYXkMueg65jRRWG1l","https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l","https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l","240760","4","When It Rains It Pours","Luke Combs","5","9","38","0.09615384615384616","0.17307692307692307","0.7307692307692307","212","139"
"0.464","0.813","10","-6.185","1","0.0416","0.0153","0","0.254","0.515","75.977","audio_features","6xHI9KjUjYT0FPtGO8Mxa1","spotify:track:6xHI9KjUjYT0FPtGO8Mxa1","https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1","https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1","222533","4","Hurricane","Luke Combs","0","2","48","0.0","0.04","0.96","157","89"
"0.93","0.611","0","-4.406","1","0.0415","0.593","0.00124","0.0592","0.695","112.127","audio_features","0KyAGiNGUytG5JLxJu4F6l","spotify:track:0KyAGiNGUytG5JLxJu4F6l","https://api.spotify.com/v1/tracks/0KyAGiNGUytG5JLxJu4F6l","https://api.spotify.com/v1/audio-analysis/0KyAGiNGUytG5JLxJu4F6l","178352","4","Pretty Girl","Clairo","1","6","19","0.038461538461538464","0.23076923076923078","0.7307692307692307","84","45"
"0.558","0.559","6","-9.222","1","0.0959","0.371","7.49e-06","0.109","0.62","78.558","audio_features","7KA4W4McWYRpgf0fWsJZWB","spotify:track:7KA4W4McWYRpgf0fWsJZWB","https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB","https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB","180387","4","See You Again (feat. Kali Uchis)","Tyler, The Creator","5","10","42","0.08771929824561403","0.17543859649122806","0.7368421052631579","266","118"
"0.662","0.714","5","-5.68","0","0.121","0.312","0","0.179","0.464","147.997","audio_features","52okn5MNA47tk87PeZJLEL","spotify:track:52okn5MNA47tk87PeZJLEL","https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL","https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL","212120","4","Let You Down","NF","6","11","63","0.075","0.1375","0.7875","349","168"
