,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
14322,2020-01-03,CN,China,WPRO,0,0,0,0
14323,2020-01-04,CN,China,WPRO,1,1,0,0
14324,2020-01-05,CN,China,WPRO,0,1,0,0
14325,2020-01-06,CN,China,WPRO,3,4,0,0
14326,2020-01-07,CN,China,WPRO,0,4,0,0
14327,2020-01-08,CN,China,WPRO,0,4,0,0
14328,2020-01-09,CN,China,WPRO,0,4,0,0
14329,2020-01-10,CN,China,WPRO,0,4,0,0
14330,2020-01-11,CN,China,WPRO,41,45,1,1
14331,2020-01-12,CN,China,WPRO,0,45,0,1
14332,2020-01-13,CN,China,WPRO,0,45,0,1
14333,2020-01-14,CN,China,WPRO,0,45,0,1
14334,2020-01-15,CN,China,WPRO,0,45,0,1
14335,2020-01-16,CN,China,WPRO,0,45,0,1
14336,2020-01-17,CN,China,WPRO,4,49,1,2
14337,2020-01-18,CN,China,WPRO,17,66,0,2
14338,2020-01-19,CN,China,WPRO,59,125,1,3
14339,2020-01-20,CN,China,WPRO,77,202,1,4
14340,2020-01-21,CN,China,WPRO,93,295,2,6
14341,2020-01-22,CN,China,WPRO,152,447,3,9
14342,2020-01-23,CN,China,WPRO,131,578,8,17
14343,2020-01-24,CN,China,WPRO,261,839,8,25
14344,2020-01-25,CN,China,WPRO,462,1301,16,41
14345,2020-01-26,CN,China,WPRO,688,1989,15,56
14346,2020-01-27,CN,China,WPRO,776,2765,24,80
14347,2020-01-28,CN,China,WPRO,1772,4537,26,106
14348,2020-01-29,CN,China,WPRO,1462,5999,26,132
14349,2020-01-30,CN,China,WPRO,1741,7740,38,170
14350,2020-01-31,CN,China,WPRO,1984,9724,43,213
14351,2020-02-01,CN,China,WPRO,2101,11825,46,259
14352,2020-02-02,CN,China,WPRO,2590,14415,45,304
14353,2020-02-03,CN,China,WPRO,2827,17242,57,361
14354,2020-02-04,CN,China,WPRO,3233,20475,64,425
14355,2020-02-05,CN,China,WPRO,3892,24367,66,491
14356,2020-02-06,CN,China,WPRO,3697,28064,73,564
14357,2020-02-07,CN,China,WPRO,3151,31215,73,637
14358,2020-02-08,CN,China,WPRO,3387,34602,86,723
14359,2020-02-09,CN,China,WPRO,2653,37255,89,812
14360,2020-02-10,CN,China,WPRO,2985,40240,97,909
14361,2020-02-11,CN,China,WPRO,2472,42712,108,1017
14362,2020-02-12,CN,China,WPRO,2022,44734,97,1114
14363,2020-02-13,CN,China,WPRO,15152,59886,254,1368
14364,2020-02-14,CN,China,WPRO,4050,63936,13,1381
14365,2020-02-15,CN,China,WPRO,2644,66580,143,1524
14366,2020-02-16,CN,China,WPRO,2008,68588,142,1666
14367,2020-02-17,CN,China,WPRO,2051,70639,106,1772
14368,2020-02-18,CN,China,WPRO,1893,72532,98,1870
14369,2020-02-19,CN,China,WPRO,1751,74283,136,2006
14370,2020-02-20,CN,China,WPRO,396,74679,115,2121
14371,2020-02-21,CN,China,WPRO,892,75571,118,2239
14372,2020-02-22,CN,China,WPRO,825,76396,109,2348
14373,2020-02-23,CN,China,WPRO,649,77045,97,2445
14374,2020-02-24,CN,China,WPRO,221,77266,150,2595
14375,2020-02-25,CN,China,WPRO,517,77783,71,2666
14376,2020-02-26,CN,China,WPRO,411,78194,52,2718
14377,2020-02-27,CN,China,WPRO,440,78634,29,2747
14378,2020-02-28,CN,China,WPRO,329,78963,44,2791
14379,2020-02-29,CN,China,WPRO,430,79393,47,2838
14380,2020-03-01,CN,China,WPRO,579,79972,35,2873
14381,2020-03-02,CN,China,WPRO,206,80178,42,2915
14382,2020-03-03,CN,China,WPRO,128,80306,31,2946
14383,2020-03-04,CN,China,WPRO,120,80426,38,2984
14384,2020-03-05,CN,China,WPRO,143,80569,31,3015
14385,2020-03-06,CN,China,WPRO,146,80715,30,3045
14386,2020-03-07,CN,China,WPRO,102,80817,28,3073
14387,2020-03-08,CN,China,WPRO,46,80863,27,3100
14388,2020-03-09,CN,China,WPRO,45,80908,23,3123
14389,2020-03-10,CN,China,WPRO,20,80928,17,3140
14390,2020-03-11,CN,China,WPRO,31,80959,22,3162
14391,2020-03-12,CN,China,WPRO,26,80985,11,3173
14392,2020-03-13,CN,China,WPRO,10,80995,7,3180
14393,2020-03-14,CN,China,WPRO,30,81025,14,3194
14394,2020-03-15,CN,China,WPRO,27,81052,10,3204
14395,2020-03-16,CN,China,WPRO,29,81081,14,3218
14396,2020-03-17,CN,China,WPRO,39,81120,13,3231
14397,2020-03-18,CN,China,WPRO,58,81178,11,3242
14398,2020-03-19,CN,China,WPRO,99,81277,8,3250
14399,2020-03-20,CN,China,WPRO,139,81416,11,3261
14400,2020-03-21,CN,China,WPRO,82,81498,6,3267
14401,2020-03-22,CN,China,WPRO,1,81499,0,3267
14402,2020-03-23,CN,China,WPRO,104,81603,9,3276
14403,2020-03-24,CN,China,WPRO,164,81767,7,3283
