Date_reported,Country,Temperature,New_cases,New_deaths
1/3/2020,China,27.9,0,0
1/4/2020,China,33.4,1,0
1/5/2020,China,28.8,0,0
1/6/2020,China,32.2,3,0
1/7/2020,China,32.7,0,0
1/8/2020,China,30.7,0,0
1/9/2020,China,27,0,0
1/10/2020,China,31.5,0,0
1/11/2020,China,28.1,41,1
1/12/2020,China,27.2,0,0
1/13/2020,China,25.2,0,0
1/14/2020,China,23.7,0,0
1/15/2020,China,23.1,0,0
1/16/2020,China,26.5,0,0
1/17/2020,China,26.1,4,1
1/18/2020,China,24.6,17,0
1/19/2020,China,30.8,59,1
1/20/2020,China,32.8,77,1
1/21/2020,China,27.3,93,2
1/22/2020,China,28.1,152,3
1/23/2020,China,31.5,131,8
1/24/2020,China,28.4,261,8
1/25/2020,China,27.1,462,16
1/26/2020,China,26.5,688,15
1/27/2020,China,32,776,24
1/28/2020,China,32,1772,26
1/29/2020,China,34,1462,26
1/30/2020,China,30.3,1741,38
1/31/2020,China,32.4,1984,43
2/1/2020,China,34.5,2101,46
2/2/2020,China,31.5,2590,45
2/3/2020,China,24.7,2827,57
2/4/2020,China,27,3233,64
2/5/2020,China,20.1,3892,66
2/6/2020,China,20.9,3697,73
2/7/2020,China,24,3151,73
2/8/2020,China,29.3,3387,86
2/9/2020,China,30.6,2653,89
2/10/2020,China,34.5,2985,97
2/11/2020,China,34.8,2472,108
2/12/2020,China,36.6,2022,97
2/13/2020,China,37.4,15152,254
2/14/2020,China,34.9,4050,13
2/15/2020,China,26.7,2644,143
2/16/2020,China,30.7,2008,142
2/17/2020,China,34.4,2051,106
2/18/2020,China,35.9,1893,98
2/19/2020,China,36,1751,136
2/20/2020,China,34.2,396,115
2/21/2020,China,39,892,118
2/22/2020,China,39.6,825,109
2/23/2020,China,36.2,649,97
2/24/2020,China,39.6,221,150
2/25/2020,China,43.5,517,71
2/26/2020,China,40.5,411,52
2/27/2020,China,37,440,29
2/28/2020,China,37.1,329,44
2/29/2020,China,37,430,47
3/1/2020,China,40.8,579,35
3/2/2020,China,36.3,206,42
3/3/2020,China,37.2,128,31
3/4/2020,China,33.6,120,38
3/5/2020,China,35.7,143,31
3/6/2020,China,39,146,30
3/7/2020,China,46.2,102,28
3/8/2020,China,40.3,46,27
3/9/2020,China,45,45,23
3/10/2020,China,39.9,20,17
3/11/2020,China,40.5,31,22
3/12/2020,China,46.8,26,11
3/13/2020,China,44.3,10,7
3/14/2020,China,47.7,30,14
3/15/2020,China,50.3,27,10
3/16/2020,China,40.7,29,14
3/17/2020,China,52.6,39,13
3/18/2020,China,53.6,58,11
3/19/2020,China,53.2,99,8
3/20/2020,China,56.7,139,11
3/21/2020,China,57.9,82,6
3/22/2020,China,53.1,1,0
