Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
中国,01/03/2020,44.6,15.8,27.9,8.7,,0,,6.7,,6.2,0,53.31,Clear
中国,01/04/2020,50,21.2,33.4,13.2,,0,,11.2,,6.2,0,47.8,Clear
中国,01/05/2020,37.4,17.6,28.8,10.8,,0,,4.5,,5.5,16.7,71.63,Clear
中国,01/06/2020,37.4,28.4,32.2,22.1,,0,,11.2,,3.4,32.5,86.19,Partially cloudy
中国,01/07/2020,35.6,30.2,32.7,20.9,,0,,15.7,,6.2,0,44.8,Clear
中国,01/08/2020,41,21.2,30.7,16.4,,0,,17.9,,6.2,0,45.77,Clear
中国,01/09/2020,39.2,19.4,27,8.8,,0,,8.9,,6.2,0,55.21,Clear
中国,01/10/2020,42.8,19.4,31.5,11.9,,0,,17.9,26.8,6.2,0,47.12,Clear
中国,01/11/2020,30.2,23,28.1,14.1,,0,,13.4,13.4,6.4,0,41.54,Clear
中国,01/12/2020,35.6,19.4,27.2,13.2,,0,,11.2,,6.2,0,46.45,Clear
中国,01/13/2020,33.8,15.8,25.2,2.9,,0,,15.7,,6.2,0,39.28,Clear
中国,01/14/2020,33.8,15.8,23.7,6.2,,0,,11.2,,6.2,0,40.99,Clear
中国,01/15/2020,35.6,12.2,23.1,4.1,,0,,6.7,,6.2,0,55.03,Clear
中国,01/16/2020,33.8,19.4,26.5,8.8,,0,,11.2,,6.2,0,45.26,Clear
中国,01/17/2020,39.2,14,26.1,8.7,,0,,6.7,,6.2,0,56.45,Clear
中国,01/18/2020,35.6,14,24.6,8.4,,0,,8.9,,4.1,0,68.43,Clear
中国,01/19/2020,42.8,15.8,30.8,10.8,,0,,15.7,22.4,6.2,0,39.09,Clear
中国,01/20/2020,42.8,23,32.8,17,,0,,13.4,24.6,6.2,0,29.99,Clear
