,Date_reported,Country_code,Country,WHO_region,Temperature,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
76384,1/3/2020,US,United States of America,AMRO,49.7,0,0,0,0
76385,1/4/2020,US,United States of America,AMRO,52.4,0,0,0,0
76386,1/5/2020,US,United States of America,AMRO,40.8,0,0,0,0
76387,1/6/2020,US,United States of America,AMRO,44.1,0,0,0,0
76388,1/7/2020,US,United States of America,AMRO,37.6,0,0,0,0
76389,1/8/2020,US,United States of America,AMRO,38.1,0,0,0,0
76390,1/9/2020,US,United States of America,AMRO,34.2,0,0,0,0
76391,1/10/2020,US,United States of America,AMRO,44.6,0,0,0,0
76392,1/11/2020,US,United States of America,AMRO,59.4,0,0,0,0
76393,1/12/2020,US,United States of America,AMRO,63.1,0,0,0,0
76394,1/13/2020,US,United States of America,AMRO,48.4,0,0,0,0
76395,1/14/2020,US,United States of America,AMRO,46.9,0,0,0,0
76396,1/15/2020,US,United States of America,AMRO,49.2,0,0,0,0
76397,1/16/2020,US,United States of America,AMRO,48.7,0,0,0,0
76398,1/17/2020,US,United States of America,AMRO,34.7,0,0,0,0
76399,1/18/2020,US,United States of America,AMRO,32.4,0,0,0,0
76400,1/19/2020,US,United States of America,AMRO,39.4,0,0,0,0
76401,1/20/2020,US,United States of America,AMRO,29.7,5,5,0,0
76402,1/21/2020,US,United States of America,AMRO,30.3,0,5,0,0
76403,1/22/2020,US,United States of America,AMRO,31.9,0,5,0,0
76404,1/23/2020,US,United States of America,AMRO,35.9,0,5,0,0
76405,1/24/2020,US,United States of America,AMRO,43.8,1,6,0,0
76406,1/25/2020,US,United States of America,AMRO,47.6,0,6,0,0
76407,1/26/2020,US,United States of America,AMRO,43.1,3,9,0,0
76408,1/27/2020,US,United States of America,AMRO,42.5,0,9,0,0
76409,1/28/2020,US,United States of America,AMRO,43.1,0,9,0,0
76410,1/29/2020,US,United States of America,AMRO,41.4,0,9,0,0
76411,1/30/2020,US,United States of America,AMRO,36.6,1,10,0,0
76412,1/31/2020,US,United States of America,AMRO,39.6,1,11,0,0
76413,2/1/2020,US,United States of America,AMRO,41.5,1,12,0,0
76414,2/2/2020,US,United States of America,AMRO,44.5,0,12,0,0
76415,2/3/2020,US,United States of America,AMRO,53.9,3,15,0,0
76416,2/4/2020,US,United States of America,AMRO,56.5,0,15,0,0
76417,2/5/2020,US,United States of America,AMRO,45.3,0,15,0,0
76418,2/6/2020,US,United States of America,AMRO,42.1,1,16,0,0
76419,2/7/2020,US,United States of America,AMRO,47.5,0,16,0,0
76420,2/8/2020,US,United States of America,AMRO,38.7,0,16,0,0
76421,2/9/2020,US,United States of America,AMRO,41.5,0,16,0,0
76422,2/10/2020,US,United States of America,AMRO,45.8,0,16,0,0
76423,2/11/2020,US,United States of America,AMRO,52.2,1,17,0,0
76424,2/12/2020,US,United States of America,AMRO,45.3,0,17,0,0
76425,2/13/2020,US,United States of America,AMRO,48,2,19,0,0
76426,2/14/2020,US,United States of America,AMRO,36.8,0,19,0,0
76427,2/15/2020,US,United States of America,AMRO,29.6,0,19,0,0
76428,2/16/2020,US,United States of America,AMRO,40.4,0,19,0,0
76429,2/17/2020,US,United States of America,AMRO,46.3,0,19,0,0
76430,2/18/2020,US,United States of America,AMRO,48.9,0,19,0,0
76431,2/19/2020,US,United States of America,AMRO,47.8,0,19,0,0
76432,2/20/2020,US,United States of America,AMRO,38.3,0,19,0,0
76433,2/21/2020,US,United States of America,AMRO,32.1,19,38,0,0
76434,2/22/2020,US,United States of America,AMRO,39.8,1,39,0,0
76435,2/23/2020,US,United States of America,AMRO,44,0,39,0,0
76436,2/24/2020,US,United States of America,AMRO,46.5,18,57,0,0
76437,2/25/2020,US,United States of America,AMRO,49.6,0,57,0,0
76438,2/26/2020,US,United States of America,AMRO,50.5,6,63,0,0
76439,2/27/2020,US,United States of America,AMRO,40,0,63,0,0
76440,2/28/2020,US,United States of America,AMRO,39,3,66,0,0
76441,2/29/2020,US,United States of America,AMRO,34.6,0,66,0,0
76442,3/1/2020,US,United States of America,AMRO,39.6,0,66,0,0
76443,3/2/2020,US,United States of America,AMRO,51.9,2,68,0,0
76444,3/3/2020,US,United States of America,AMRO,53.1,44,112,2,2
76445,3/4/2020,US,United States of America,AMRO,55.3,21,133,3,5
76446,3/5/2020,US,United States of America,AMRO,48.8,0,133,4,9
76447,3/6/2020,US,United States of America,AMRO,44.5,84,217,2,11
76448,3/7/2020,US,United States of America,AMRO,45.3,0,217,0,11
76449,3/8/2020,US,United States of America,AMRO,48.4,0,217,0,11
76450,3/9/2020,US,United States of America,AMRO,56.3,259,476,8,19
76451,3/10/2020,US,United States of America,AMRO,61.7,224,700,6,25
76452,3/11/2020,US,United States of America,AMRO,52.7,0,700,0,25
76453,3/12/2020,US,United States of America,AMRO,53.7,291,991,4,29
76454,3/13/2020,US,United States of America,AMRO,61.2,277,1268,7,36
76455,3/14/2020,US,United States of America,AMRO,52.1,414,1682,5,41
76456,3/15/2020,US,United States of America,AMRO,44.9,36,1718,0,41
76457,3/16/2020,US,United States of America,AMRO,46.8,0,1718,0,41
76458,3/17/2020,US,United States of America,AMRO,51.7,1822,3540,17,58
76459,3/18/2020,US,United States of America,AMRO,51.6,3551,7091,42,100
76460,3/19/2020,US,United States of America,AMRO,58.1,3351,10442,50,150
76461,3/20/2020,US,United States of America,AMRO,69.9,4777,15219,51,201
76462,3/21/2020,US,United States of America,AMRO,55.1,0,15219,0,201
76463,3/22/2020,US,United States of America,AMRO,46.5,0,15219,0,201
76464,3/23/2020,US,United States of America,AMRO,43.9,16354,31573,201,402
76465,3/24/2020,US,United States of America,AMRO,48.9,20341,51914,271,673
76466,3/25/2020,US,United States of America,AMRO,47.5,0,51914,0,673
76467,3/26/2020,US,United States of America,AMRO,50.9,16420,68334,318,991
76468,3/27/2020,US,United States of America,AMRO,59.8,0,68334,0,991
76469,3/28/2020,US,United States of America,AMRO,55.6,16894,85228,252,1243
76470,3/29/2020,US,United States of America,AMRO,56.3,18093,103321,425,1668
76471,3/30/2020,US,United States of America,AMRO,60.2,19332,122653,444,2112
76472,3/31/2020,US,United States of America,AMRO,51.6,17987,140640,286,2398
76473,4/1/2020,US,United States of America,AMRO,48.3,22559,163199,452,2850
76474,4/2/2020,US,United States of America,AMRO,53.7,24103,187302,996,3846
76475,4/3/2020,US,United States of America,AMRO,56.7,26298,213600,947,4793
