,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
76171,2020-01-03,GB,The United Kingdom,EURO,0,0,0,0
76172,2020-01-04,GB,The United Kingdom,EURO,0,0,0,0
76173,2020-01-05,GB,The United Kingdom,EURO,0,0,0,0
76174,2020-01-06,GB,The United Kingdom,EURO,0,0,0,0
76175,2020-01-07,GB,The United Kingdom,EURO,0,0,0,0
76176,2020-01-08,GB,The United Kingdom,EURO,0,0,0,0
76177,2020-01-09,GB,The United Kingdom,EURO,0,0,0,0
76178,2020-01-10,GB,The United Kingdom,EURO,0,0,0,0
76179,2020-01-11,GB,The United Kingdom,EURO,0,0,0,0
76180,2020-01-12,GB,The United Kingdom,EURO,0,0,0,0
76181,2020-01-13,GB,The United Kingdom,EURO,0,0,0,0
76182,2020-01-14,GB,The United Kingdom,EURO,0,0,0,0
76183,2020-01-15,GB,The United Kingdom,EURO,0,0,0,0
76184,2020-01-16,GB,The United Kingdom,EURO,0,0,0,0
76185,2020-01-17,GB,The United Kingdom,EURO,0,0,0,0
76186,2020-01-18,GB,The United Kingdom,EURO,0,0,0,0
76187,2020-01-19,GB,The United Kingdom,EURO,0,0,0,0
76188,2020-01-20,GB,The United Kingdom,EURO,0,0,0,0
76189,2020-01-21,GB,The United Kingdom,EURO,0,0,0,0
76190,2020-01-22,GB,The United Kingdom,EURO,0,0,0,0
76191,2020-01-23,GB,The United Kingdom,EURO,0,0,0,0
76192,2020-01-24,GB,The United Kingdom,EURO,0,0,0,0
76193,2020-01-25,GB,The United Kingdom,EURO,0,0,0,0
76194,2020-01-26,GB,The United Kingdom,EURO,0,0,0,0
76195,2020-01-27,GB,The United Kingdom,EURO,0,0,0,0
76196,2020-01-28,GB,The United Kingdom,EURO,0,0,0,0
76197,2020-01-29,GB,The United Kingdom,EURO,0,0,0,0
76198,2020-01-30,GB,The United Kingdom,EURO,0,0,0,0
76199,2020-01-31,GB,The United Kingdom,EURO,0,0,0,0
76200,2020-02-01,GB,The United Kingdom,EURO,2,2,0,0
76201,2020-02-02,GB,The United Kingdom,EURO,0,2,0,0
76202,2020-02-03,GB,The United Kingdom,EURO,0,2,0,0
76203,2020-02-04,GB,The United Kingdom,EURO,0,2,0,0
76204,2020-02-05,GB,The United Kingdom,EURO,1,3,0,0
76205,2020-02-06,GB,The United Kingdom,EURO,0,3,0,0
76206,2020-02-07,GB,The United Kingdom,EURO,1,4,0,0
76207,2020-02-08,GB,The United Kingdom,EURO,0,4,0,0
76208,2020-02-09,GB,The United Kingdom,EURO,0,4,0,0
76209,2020-02-10,GB,The United Kingdom,EURO,4,8,0,0
76210,2020-02-11,GB,The United Kingdom,EURO,1,9,0,0
76211,2020-02-12,GB,The United Kingdom,EURO,0,9,0,0
76212,2020-02-13,GB,The United Kingdom,EURO,1,10,0,0
76213,2020-02-14,GB,The United Kingdom,EURO,0,10,0,0
76214,2020-02-15,GB,The United Kingdom,EURO,0,10,0,0
76215,2020-02-16,GB,The United Kingdom,EURO,0,10,0,0
76216,2020-02-17,GB,The United Kingdom,EURO,0,10,0,0
76217,2020-02-18,GB,The United Kingdom,EURO,0,10,0,0
76218,2020-02-19,GB,The United Kingdom,EURO,0,10,0,0
76219,2020-02-20,GB,The United Kingdom,EURO,0,10,0,0
76220,2020-02-21,GB,The United Kingdom,EURO,0,10,0,0
76221,2020-02-22,GB,The United Kingdom,EURO,0,10,0,0
76222,2020-02-23,GB,The United Kingdom,EURO,1,11,0,0
76223,2020-02-24,GB,The United Kingdom,EURO,0,11,0,0
76224,2020-02-25,GB,The United Kingdom,EURO,0,11,0,0
76225,2020-02-26,GB,The United Kingdom,EURO,2,13,0,0
76226,2020-02-27,GB,The United Kingdom,EURO,5,18,0,0
76227,2020-02-28,GB,The United Kingdom,EURO,4,22,0,0
76228,2020-02-29,GB,The United Kingdom,EURO,8,30,0,0
76229,2020-03-01,GB,The United Kingdom,EURO,12,42,0,0
76230,2020-03-02,GB,The United Kingdom,EURO,5,47,0,0
76231,2020-03-03,GB,The United Kingdom,EURO,22,69,0,0
76232,2020-03-04,GB,The United Kingdom,EURO,40,109,0,0
76233,2020-03-05,GB,The United Kingdom,EURO,55,164,0,0
76234,2020-03-06,GB,The United Kingdom,EURO,56,220,0,0
76235,2020-03-07,GB,The United Kingdom,EURO,51,271,1,1
76236,2020-03-08,GB,The United Kingdom,EURO,81,352,1,2
76237,2020-03-09,GB,The United Kingdom,EURO,60,412,0,2
76238,2020-03-10,GB,The United Kingdom,EURO,57,469,1,3
76239,2020-03-11,GB,The United Kingdom,EURO,148,617,4,7
76240,2020-03-12,GB,The United Kingdom,EURO,259,876,0,7
76241,2020-03-13,GB,The United Kingdom,EURO,406,1282,2,9
76242,2020-03-14,GB,The United Kingdom,EURO,484,1766,1,10
76243,2020-03-15,GB,The United Kingdom,EURO,478,2244,19,29
76244,2020-03-16,GB,The United Kingdom,EURO,361,2605,14,43
76245,2020-03-17,GB,The United Kingdom,EURO,442,3047,22,65
76246,2020-03-18,GB,The United Kingdom,EURO,611,3658,17,82
76247,2020-03-19,GB,The United Kingdom,EURO,769,4427,34,116
76248,2020-03-20,GB,The United Kingdom,EURO,999,5426,46,162
76249,2020-03-21,GB,The United Kingdom,EURO,1055,6481,32,194
76250,2020-03-22,GB,The United Kingdom,EURO,1255,7736,58,252
76251,2020-03-23,GB,The United Kingdom,EURO,1198,8934,36,288
76252,2020-03-24,GB,The United Kingdom,EURO,1378,10312,76,364
76253,2020-03-25,GB,The United Kingdom,EURO,2338,12650,148,512
76254,2020-03-26,GB,The United Kingdom,EURO,2375,15025,191,703
76255,2020-03-27,GB,The United Kingdom,EURO,2692,17717,181,884
76256,2020-03-28,GB,The United Kingdom,EURO,3087,20804,288,1172
76257,2020-03-29,GB,The United Kingdom,EURO,3197,24001,292,1464
76258,2020-03-30,GB,The United Kingdom,EURO,2822,26823,212,1676
76259,2020-03-31,GB,The United Kingdom,EURO,2858,29681,374,2050
76260,2020-04-01,GB,The United Kingdom,EURO,4273,33954,403,2453
76261,2020-04-02,GB,The United Kingdom,EURO,4514,38468,672,3125
