month,Dubai,Brent,WTI,Oman
Jan-16,26.86,31.93,31.78,27.12
Feb-16,28.87,33.53,30.62,29.55
Mar-16,35.24,39.79,37.96,36.4
Apr-16,38.99,43.34,41.12,39.93
May-16,44.26,47.65,46.8,44.95
Jun-16,46.3,49.93,48.85,46.67
Jul-16,42.53,46.53,44.8,43.22
Aug-16,43.64,47.16,44.8,44.46
Sep-16,43.33,47.24,45.23,44.05
Oct-16,48.97,51.39,49.94,49.73
Nov-16,43.9,47.08,45.76,44.62
Dec-16,52.08,54.92,52.17,52.9
Jan-17,53.71,55.45,52.61,54.25
Feb-17,54.39,56,53.46,54.95
Mar-17,51.2,52.54,49.67,51.77
Apr-17,52.3,53.82,51.12,52.89
May-17,50.72,51.39,48.54,50.49
Jun-17,46.47,47.55,45.2,46.83
Jul-17,47.57,49.15,46.68,48.06
Aug-17,50.22,51.87,48.06,50.8
Sep-17,53.66,55.51,49.88,53.65
Oct-17,55.54,57.65,51.59,55.6
Nov-17,60.82,62.87,56.66,60.76
Dec-17,61.61,64.09,57.95,61.68
Jan-18,66.2,69.08,63.66,66.96
Feb-18,62.72,65.73,62.18,63.16
Mar-18,62.74,66.72,62.77,63.24
Apr-18,68.27,71.76,66.33,68.31
May-18,74.41,77.01,69.98,74.45
Jun-18,73.61,75.94,67.32,73.65
Jul-18,73.12,74.95,70.58,73.23
Aug-18,72.49,73.84,67.85,72.66
Sep-18,77.23,79.11,70.08,77.84
Oct-18,79.39,80.63,70.76,80.05
Nov-18,65.56,65.95,56.69,65.86
Dec-18,57.32,57.67,48.98,57.57
Jan-19,59.09,60.24,51.55,59.32
Feb-19,64.59,64.43,54.98,64.69
Mar-19,66.94,67.03,58.17,66.97
Apr-19,70.94,71.63,63.87,71.13
May-19,69.38,70.3,60.87,69.77
Jun-19,61.78,63.04,54.71,61.82
Jul-19,63.28,64.21,57.55,63.75
Aug-19,59.13,59.5,54.84,59.69
Sep-19,61.13,62.29,56.97,61.67
Oct-19,59.39,59.63,54.01,60.07
Nov-19,61.99,62.71,57.07,62.79
Dec-19,64.91,65.17,59.8,65.38
average,56.85,58.89,54.02,57.28
