month,avg_precipitation
Jan-16,69
Feb-16,60
Mar-16,60
Apr-16,66
May-16,65
Jun-16,80
Jul-16,84
Aug-16,79
Sep-16,83
Oct-16,79
Nov-16,69
Dec-16,69
Jan-17,66
Feb-17,60
Mar-17,57
Apr-17,60
May-17,62
Jun-17,68
Jul-17,89
Aug-17,83
Sep-17,76
Oct-17,75
Nov-17,64
Dec-17,64
Jan-18,67
Feb-18,54
Mar-18,72
Apr-18,67
May-18,74
Jun-18,74
Jul-18,79
Aug-18,78
Sep-18,78
Oct-18,72
Nov-18,70
Dec-18,62
Jan-19,59
Feb-19,58
Mar-19,61
Apr-19,67
May-19,58
Jun-19,79
Jul-19,84
Aug-19,80
Sep-19,82
Oct-19,74
Nov-19,66
Dec-19,62
