month,avg_precipitation
Jan-16,53
Feb-16,52
Mar-16,51
Apr-16,55
May-16,56
Jun-16,63
Jul-16,73
Aug-16,64
Sep-16,65
Oct-16,62
Nov-16,57
Dec-16,59
Jan-17,55
Feb-17,54
Mar-17,48
Apr-17,52
May-17,52
Jun-17,57
Jul-17,77
Aug-17,71
Sep-17,61
Oct-17,56
Nov-17,54
Dec-17,56
Jan-18,48
Feb-18,45
Mar-18,59
Apr-18,55
May-18,63
Jun-18,63
Jul-18,68
Aug-18,65
Sep-18,61
Oct-18,59
Nov-18,58
Dec-18,46
Jan-19,46
Feb-19,47
Mar-19,51
Apr-19,51
May-19,47
Jun-19,61
Jul-19,69
Aug-19,69
Sep-19,65
Oct-19,62
Nov-19,56
Dec-19,58
