month,avg_tem
16-Jan,3.1
16-Feb,5.5
16-Mar,9.9
16-Apr,15.1
16-May,19.3
16-Jun,21.9
16-Jul,25.3
16-Aug,27.7
16-Sep,22.9
16-Oct,18.7
16-Nov,11.8
16-Dec,7.3
17-Jan,4.1
17-Feb,5.5
17-Mar,9
17-Apr,15
17-May,19
17-Jun,21.3
17-Jul,26.1
17-Aug,27
17-Sep,22.6
17-Oct,18.1
17-Nov,11.2
17-Dec,3.6
18-Jan,1.9
18-Feb,3.9
18-Mar,10
18-Apr,14.5
18-May,17.8
18-Jun,21.5
18-Jul,26.7
18-Aug,27.9
18-Sep,21.9
18-Oct,16.4
18-Nov,12.4
18-Dec,5.7
19-Jan,4.5
19-Feb,6.6
19-Mar,10.5
19-Apr,13.4
19-May,19.3
19-Jun,21.1
19-Jul,24.3
19-Aug,27
19-Sep,23.1
19-Oct,18.6
19-Nov,13
19-Dec,7
