month,avg_tem
16-Jan,-0.2
16-Feb,3.1
16-Mar,8.8
16-Apr,14.9
16-May,20
16-Jun,23.4
16-Jul,26.4
16-Aug,27.6
16-Sep,21.9
16-Oct,16.6
16-Nov,8.8
16-Dec,4
17-Jan,1.1
17-Feb,3.2
17-Mar,7.9
17-Apr,15.7
17-May,20.8
17-Jun,23.3
17-Jul,28
17-Aug,26.4
17-Sep,21.5
17-Oct,16.2
17-Nov,7.8
17-Dec,0.7
18-Jan,-0.9
18-Feb,1.3
18-Mar,9.2
18-Apr,15
18-May,19.2
18-Jun,23.6
18-Jul,28.2
18-Aug,27.7
18-Sep,21
18-Oct,14.3
18-Nov,8.8
18-Dec,2
19-Jan,1.7
19-Feb,4
19-Mar,9.4
19-Apr,13.5
19-May,20.7
19-Jun,22.8
19-Jul,25.8
19-Aug,27.4
19-Sep,22.6
19-Oct,16.8
19-Nov,9.8
19-Dec,3.5
