month,avg_tem
Dec-19,2.8
Nov-19,8.8
Oct-19,15.8
Sep-19,21.8
Aug-19,26.2
Jul-19,24.8
Jun-19,21.3
May-19,18.6
Apr-19,12
Mar-19,7.5
Feb-19,2.4
Jan-19,0.3
Dec-18,1.1
Nov-18,8.1
Oct-18,13
Sep-18,20.4
Aug-18,27.3
Jul-18,26.8
Jun-18,22.2
May-18,17.8
Apr-18,13.3
Mar-18,8.1
Feb-18,-0.2
Jan-18,-2
Dec-17,-0.1
Nov-17,6.8
Oct-17,15.3
Sep-17,20.6
Aug-17,25.4
Jul-17,26.4
Jun-17,21.8
May-17,18.7
Apr-17,13.9
Mar-17,6.3
Feb-17,1.6
Jan-17,0.1
Dec-16,3.1
Nov-16,7.8
Oct-16,15.8
Sep-16,21.6
Aug-16,26.7
Jul-16,25.4
Jun-16,22.3
May-16,18.6
Apr-16,13.8
Mar-16,7.2
Feb-16,1.7
Jan-16,-0.9
