month,avg_tem
16-Jan,-3.2
16-Feb,0.2
16-Mar,7
16-Apr,14.1
16-May,19.6
16-Jun,23.6
16-Jul,26.2
16-Aug,28
16-Sep,23.1
16-Oct,16.1
16-Nov,6.8
16-Dec,1.2
17-Jan,-1.8
17-Feb,-0.2
17-Mar,6.3
17-Apr,13.9
17-May,19.5
17-Jun,23.3
17-Jul,26.9
17-Aug,25.9
17-Sep,22.1
17-Oct,16.4
17-Nov,5.6
17-Dec,-1.9
18-Jan,-4
18-Feb,-1.6
18-Mar,8.1
18-Apr,13
18-May,18.2
18-Jun,23.1
18-Jul,27.8
18-Aug,28.8
18-Sep,21.5
18-Oct,13.1
18-Nov,7.8
18-Dec,-0.6
19-Jan,-0.9
19-Feb,1
19-Mar,7.1
19-Apr,12.1
19-May,19.4
19-Jun,22.5
19-Jul,25.9
19-Aug,27.2
19-Sep,22.6
19-Oct,16.4
19-Nov,7.6
19-Dec,1.4
