month,avg_precipitation
Dec-19,26.3
Nov-19,58.2
Oct-19,169
Sep-19,221.2
Aug-19,140
Jul-19,215.8
Jun-19,141
May-19,55.9
Apr-19,79.3
Mar-19,38.7
Feb-19,30.8
Jan-19,8.1
Dec-18,27.6
Nov-18,50.5
Oct-18,164.2
Sep-18,136.5
Aug-18,282.1
Jul-18,172.3
Jun-18,132.1
May-18,123.7
Apr-18,133.6
Mar-18,110.7
Feb-18,32.5
Jan-18,21.1
Dec-17,22
Nov-17,12.7
Oct-17,67.6
Sep-17,92.1
Aug-17,241
Jul-17,308
Jun-17,60.7
May-17,29.5
Apr-17,65
Mar-17,24.1
Feb-17,29.8
Jan-17,15.3
Dec-16,63.1
Nov-16,34.6
Oct-16,145.3
Sep-16,201.7
Aug-16,76.2
Jul-16,302.6
Jun-16,67.4
May-16,98.4
Apr-16,158.1
Mar-16,56.2
Feb-16,43.8
Jan-16,25
